#contig-id	start-pos	end-pos	start-index	end-index	region-pat	PM-cluster	pollen-id_x
# note: the first region will be left-extended to coordinate 1 on contig 
#       the last region will be right-extended to coordinate contig-size 
tig00003744_pilon	1	42691	1	5	M	0_m	4_x
tig00003744_pilon	1	42691	1	5	M	0_m	9_x
tig00003744_pilon	1	42691	1	5	M	0_m	11_x
tig00003744_pilon	1	42691	1	5	M	0_m	25_x
tig00003744_pilon	1	42691	1	5	M	0_m	30_x
tig00003744_pilon	1	42691	1	5	M	0_m	33_x
tig00003744_pilon	1	42691	1	5	M	0_m	45_x
tig00003744_pilon	1	42691	1	5	M	0_m	58_x
tig00003744_pilon	1	42691	1	5	M	0_m	86_x
tig00003744_pilon	1	42691	1	5	M	0_m	93_x
tig00003744_pilon	1	42691	1	5	M	0_m	96_x
tig00003744_pilon	1	42691	1	5	M	0_m	99_x
tig00003744_pilon	1	42691	1	5	M	0_m	114_x
tig00003744_pilon	1	42691	1	5	M	0_m	122_x
tig00003744_pilon	1	42691	1	5	M	0_m	131_x
tig00003744_pilon	1	42691	1	5	M	0_m	143_x
tig00003744_pilon	1	42691	1	5	M	0_m	144_x
tig00003744_pilon	1	42691	1	5	M	0_m	159_x
tig00003744_pilon	1	42691	1	5	M	0_m	169_x
tig00003744_pilon	1	42691	1	5	M	0_m	195_x
tig00003744_pilon	1	42691	1	5	M	0_m	197_x
tig00003744_pilon	1	42691	1	5	M	0_m	200_x
tig00003744_pilon	1	42691	1	5	M	0_m	203_x
tig00003744_pilon	1	42691	1	5	M	0_m	213_x
tig00003744_pilon	1	42691	1	5	M	0_m	218_x
tig00003744_pilon	1	42691	1	5	M	0_m	225_x
tig00003744_pilon	1	42691	1	5	M	0_m	228_x
tig00003744_pilon	1	42691	1	5	M	0_m	230_x
tig00003744_pilon	1	42691	1	5	M	0_m	235_x
tig00003744_pilon	1	42691	1	5	M	0_m	255_x
tig00003744_pilon	1	42691	1	5	M	0_m	281_x
tig00003744_pilon	1	42691	1	5	M	0_m	295_x
tig00003744_pilon	1	42691	1	5	M	0_m	300_x
tig00003744_pilon	1	42691	1	5	M	0_m	322_x
tig00003744_pilon	1	42691	1	5	M	0_m	325_x
tig00003744_pilon	1	42691	1	5	M	0_m	327_x
tig00003744_pilon	1	42691	1	5	M	0_m	348_x
tig00003744_pilon	1	42691	1	5	M	0_m	355_x
tig00003744_pilon	1	42691	1	5	M	0_m	358_x
tig00003744_pilon	1	42691	1	5	M	0_m	373_x
tig00003744_pilon	1	42691	1	5	M	0_m	379_x
tig00003744_pilon	1	42691	1	5	M	0_m	390_x
tig00003744_pilon	1	42691	1	5	M	0_m	393_x
tig00003744_pilon	1	42691	1	5	M	0_m	409_x
tig00003744_pilon	1	42691	1	5	M	0_m	414_x
tig00003744_pilon	1	42691	1	5	M	0_m	417_x
tig00003744_pilon	1	42691	1	5	M	0_m	420_x
tig00003744_pilon	1	42691	1	5	M	0_m	430_x
tig00003744_pilon	1	42691	1	5	M	0_m	433_x
tig00003744_pilon	1	42691	1	5	M	0_m	462_x
tig00003744_pilon	1	42691	1	5	M	0_m	478_x
tig00003744_pilon	1	42691	1	5	M	0_m	483_x
tig00003744_pilon	1	42691	1	5	M	0_m	485_x
tig00003744_pilon	1	42691	1	5	M	0_m	487_x
tig00003744_pilon	1	42691	1	5	M	0_m	489_x
tig00003744_pilon	1	42691	1	5	M	0_m	491_x
tig00003744_pilon	1	42691	1	5	M	0_m	499_x
tig00003744_pilon	1	42691	1	5	M	0_m	503_x
tig00003744_pilon	1	42691	1	5	M	0_m	528_x
tig00003744_pilon	1	42691	1	5	M	0_m	529_x
tig00003744_pilon	1	42691	1	5	M	0_m	532_x
tig00003744_pilon	1	42691	1	5	M	0_m	534_x
tig00003744_pilon	1	42691	1	5	M	0_m	535_x
tig00003744_pilon	1	42691	1	5	M	0_m	538_x
tig00003744_pilon	1	42691	1	5	M	0_m	541_x
tig00003744_pilon	1	42691	1	5	M	0_m	543_x
tig00003744_pilon	1	42691	1	5	M	0_m	560_x
tig00003744_pilon	1	42691	1	5	M	0_m	586_x
tig00003744_pilon	1	42691	1	5	M	0_m	587_x
tig00003744_pilon	1	42691	1	5	M	0_m	621_x
tig00003744_pilon	1	42691	1	5	M	0_m	630_x
tig00003744_pilon	1	42691	1	5	M	0_m	645_x
tig00003744_pilon	1	42691	1	5	M	0_m	659_x
tig00003744_pilon	1	42691	1	5	M	0_m	667_x
tig00003744_pilon	1	42691	1	5	M	0_m	668_x
tig00003744_pilon	1	42691	1	5	M	0_m	672_x
tig00003744_pilon	1	42691	1	5	M	0_m	702_x
tig00003744_pilon	1	42691	1	5	M	0_m	720_x
tig00003744_pilon	1	42691	1	5	M	0_m	724_x
tig00003744_pilon	1	42691	1	5	M	0_m	738_x
tig00003744_pilon	1	42691	1	5	M	0_m	745_x
tig00003744_pilon	1	42691	1	5	M	0_m	748_x
tig00003744_pilon	1	42691	1	5	M	0_m	757_x
tig00003744_pilon	1	42691	1	5	M	0_m	761_x
tig00003744_pilon	1	42691	1	5	M	0_m	779_x
tig00003744_pilon	1	42691	1	5	M	0_m	800_x
tig00003744_pilon	1	42691	1	5	M	0_m	803_x
tig00003744_pilon	1	42691	1	5	M	0_m	815_x
tig00003744_pilon	1	42691	1	5	M	0_m	824_x
tig00003744_pilon	1	42691	1	5	M	0_m	833_x
tig00003744_pilon	1	42691	1	5	M	0_m	836_x
tig00003744_pilon	1	42691	1	5	M	0_m	848_x
tig00003744_pilon	1	42691	1	5	M	0_m	870_x
tig00003744_pilon	1	42691	1	5	M	0_m	882_x
tig00003744_pilon	1	42691	1	5	P	0_p	17_x
tig00003744_pilon	1	42691	1	5	P	0_p	20_x
tig00003744_pilon	1	42691	1	5	P	0_p	22_x
tig00003744_pilon	1	42691	1	5	P	0_p	39_x
tig00003744_pilon	1	42691	1	5	P	0_p	41_x
tig00003744_pilon	1	42691	1	5	P	0_p	66_x
tig00003744_pilon	1	42691	1	5	P	0_p	71_x
tig00003744_pilon	1	42691	1	5	P	0_p	81_x
tig00003744_pilon	1	42691	1	5	P	0_p	110_x
tig00003744_pilon	1	42691	1	5	P	0_p	139_x
tig00003744_pilon	1	42691	1	5	P	0_p	142_x
tig00003744_pilon	1	42691	1	5	P	0_p	150_x
tig00003744_pilon	1	42691	1	5	P	0_p	189_x
tig00003744_pilon	1	42691	1	5	P	0_p	215_x
tig00003744_pilon	1	42691	1	5	P	0_p	226_x
tig00003744_pilon	1	42691	1	5	P	0_p	237_x
tig00003744_pilon	1	42691	1	5	P	0_p	247_x
tig00003744_pilon	1	42691	1	5	P	0_p	266_x
tig00003744_pilon	1	42691	1	5	P	0_p	271_x
tig00003744_pilon	1	42691	1	5	P	0_p	289_x
tig00003744_pilon	1	42691	1	5	P	0_p	299_x
tig00003744_pilon	1	42691	1	5	P	0_p	339_x
tig00003744_pilon	1	42691	1	5	P	0_p	347_x
tig00003744_pilon	1	42691	1	5	P	0_p	359_x
tig00003744_pilon	1	42691	1	5	P	0_p	361_x
tig00003744_pilon	1	42691	1	5	P	0_p	362_x
tig00003744_pilon	1	42691	1	5	P	0_p	372_x
tig00003744_pilon	1	42691	1	5	P	0_p	382_x
tig00003744_pilon	1	42691	1	5	P	0_p	392_x
tig00003744_pilon	1	42691	1	5	P	0_p	413_x
tig00003744_pilon	1	42691	1	5	P	0_p	431_x
tig00003744_pilon	1	42691	1	5	P	0_p	434_x
tig00003744_pilon	1	42691	1	5	P	0_p	447_x
tig00003744_pilon	1	42691	1	5	P	0_p	449_x
tig00003744_pilon	1	42691	1	5	P	0_p	453_x
tig00003744_pilon	1	42691	1	5	P	0_p	479_x
tig00003744_pilon	1	42691	1	5	P	0_p	484_x
tig00003744_pilon	1	42691	1	5	P	0_p	513_x
tig00003744_pilon	1	42691	1	5	P	0_p	514_x
tig00003744_pilon	1	42691	1	5	P	0_p	522_x
tig00003744_pilon	1	42691	1	5	P	0_p	545_x
tig00003744_pilon	1	42691	1	5	P	0_p	554_x
tig00003744_pilon	1	42691	1	5	P	0_p	555_x
tig00003744_pilon	1	42691	1	5	P	0_p	558_x
tig00003744_pilon	1	42691	1	5	P	0_p	581_x
tig00003744_pilon	1	42691	1	5	P	0_p	620_x
tig00003744_pilon	1	42691	1	5	P	0_p	640_x
tig00003744_pilon	1	42691	1	5	P	0_p	688_x
tig00003744_pilon	1	42691	1	5	P	0_p	706_x
tig00003744_pilon	1	42691	1	5	P	0_p	726_x
tig00003744_pilon	1	42691	1	5	P	0_p	747_x
tig00003744_pilon	1	42691	1	5	P	0_p	780_x
tig00003744_pilon	1	42691	1	5	P	0_p	820_x
tig00003744_pilon	1	42691	1	5	P	0_p	838_x
tig00003744_pilon	1	42691	1	5	P	0_p	842_x
tig00003744_pilon	1	42691	1	5	P	0_p	843_x
tig00003744_pilon	1	42691	1	5	P	0_p	849_x
tig00003744_pilon	1	42691	1	5	P	0_p	850_x
tig00003744_pilon	1	42691	1	5	P	0_p	851_x
tig00003744_pilon	1	42691	1	5	P	0_p	853_x
tig00003744_pilon	1	42691	1	5	P	0_p	856_x
tig00003744_pilon	1	42691	1	5	P	0_p	859_x
tig00003744_pilon	1	42691	1	5	P	0_p	865_x
tig00003744_pilon	1	42691	1	5	P	0_p	866_x
tig00003744_pilon	1	42691	1	5	P	0_p	868_x
tig00003744_pilon	1	42691	1	5	P	0_p	874_x
tig00003744_pilon	1	42691	1	5	P	0_p	877_x
tig00003744_pilon	1	42691	1	5	P	0_p	880_x
tig00003744_pilon	1	42691	1	5	P	0_p	885_x
tig00003744_pilon	1	42691	1	5	P	0_p	888_x
tig00003744_pilon	1	42691	1	5	P	0_p	892_x
tig00003744_pilon	1	42691	1	5	P	0_p	893_x
tig00003744_pilon	1	42691	1	5	P	0_p	895_x
